MATRICULA;DESTI_ACTUAL;DESTI_NOU;EXCES;RESULTA;PROMOCIO;NOTA_PROMO;OP1;OP2;OP3;OP4;OP5;OP6;OP7;OP8
21174;SA-C;;;;06/10/1986;1;SA-E;;;;;;;
21733;MJ-E;;;;26/09/1988;2;MJ-D;;;;;;;
22563;LL-C;;;;16/08/1990;3;VH-A;;;;;;;
22568;VH-C;;;;16/08/1990;4;VH-A;;;;;;;
24530;LL-D;;;;02/09/2002;5;VH-A;;;;;;;
25304;EX-A;;;;21/11/2005;6;LL-E;LL-D;LL-A;LL-B;LL-C;;;
26451;SA-B;;;;12/09/2007;7;SA-D;;;;;;;
27300;MJ-C;;;;02/02/2009;8;SA-E;SA-A;;;;;;
27304;SA-A;;;;02/02/2009;9;EX-E;EX-D;EX-A;EX-B;EX-C;;;
27317;SA-A;;;;02/02/2009;10;MJ-B;;;;;;;
27334;VH-A;;;;02/02/2009;11;VH-D;VH-E;;;;;;
27848;SA-B;;;;13/11/2009;12;VH-B;LL-B;EX-B;VH-A;;;;
71970;SA-D;;;;17/10/2011;23;SA-D;SA-E;SA-B;EX-D;EX-E;;;
71984;LL-B;;;;17/10/2011;28;LL-E;;;;;;;
72669;MJ-D;;;;15/04/2013;2;EX-D;EX-E;;;;;;
72661;EX-E;;;;15/04/2013;8;LL-B;LL-D;LL-A;LL-C;;;;
72664;EX-C;;;;15/04/2013;20;LL-E;LL-A;LL-B;LL-D;LL-C;;;
72656;EX-D;;;;15/04/2013;22;LL-D;LL-B;LL-C;LL-A;SA-E;;;
73653;SA-A;;;;26/01/2015;1;EX-D;EX-E;EX-B;SA-D;LL-D;;;
73639;VH-B;;;;26/01/2015;20;EX-A;MJ-A;EX-D;MJ-D;SA-A;LL-A;LL-E;VH-A
73679;VH-A;;;;26/01/2015;24;EX-A;EX-D;EX-C;MJ-D;MJ-A;LL-A;;
73654;VH-D;;;;26/01/2015;34;EX-D;EX-E;EX-B;LL-D;LL-A;LL-C;LL-B;EX-A
73691;VH-A;;;;26/01/2015;35;LL-E;EX-E;;;;;;
73647;LL-B;;;;26/01/2015;36;LL-E;VH-B;SA-D;VH-A;SA-E;VH-D;SA-B;
73671;VH-C;;;;26/01/2015;39;LL-D;LL-C;LL-A;LL-E;LL-B;;;
73676;EX-C;;;;26/01/2015;41;LL-C;LL-E;LL-B;LL-D;LL-A;;;
73631;EX-C;;;;26/01/2015;57;EX-E;EX-D;EX-B;EX-A;LL-E;LL-B;LL-C;LL-D
75123;SA-C;;;;09/09/2016;12;SA-C;SA-E;SA-A;SA-B;SA-D;VH-C;VH-A;SA-B
75849;SA-B;;;;09/09/2016;15;LL-D;LL-B;LL-C;LL-A;LL-E;;;
75145;SA-C;;;;09/09/2016;16;SA-C;SA-E;SA-B;SA-A;SA-D;VH-C;VH-D;VH-A
75126;SA-D;;;;09/09/2016;28;SA-D;LL-D;EX-D;VH-D;SA-B;LL-B;VH-E;VH-B
75180;SA-D;;;;09/09/2016;36;SA-D;LL-D;EX-D;VH-D;SA-B;LL-B;VH-E;VH-B
75166;VH-D;;;;09/09/2016;39;LL-B;LL-A;LL-D;EX-D;EX-E;LL-C;LL-E;
75165;LL-B;;;;09/09/2016;40;LL-B;MJ-B;LL-E;LL-D;SA-B;SA-D;MJ-D;MJ-E
75121;SA-A;;;;09/09/2016;44;SA-A;SA-E;SA-B;SA-D;VH-A;VH-D;VH-B;LL-A
75153;SA-B;;;;09/09/2016;46;MJ-B;;;;;;;
75187;LL-C;;;;09/09/2016;47;MJ-C;MJ-E;MJ-D;;;;;
75161;VH-E;;;;09/09/2016;49;EX-E;LL-C;VH-A;LL-E;LL-B;LL-A;EX-D;LL-D
75144;MJ-A;;;;09/09/2016;50;LL-A;LL-B;LL-C;LL-D;LL-E;MJ-E;MJ-D;MJ-C
75173;MJ-A;;;;09/09/2016;52;MJ-D;MJ-E;;;;;;
99999;;;;;;;;;;;;;;
